country_code,indicator,year,value
MDA,WHOSIS_000001,2003,66.19700504
VEN,WHOSIS_000001,2020,72.40374475
SEN,WHOSIS_000001,2000,58.6097114
SYC,WHOSIS_000001,2020,77.26435364
KHM,WHOSIS_000001,2000,59.10171682
SLB,WHOSIS_000001,2018,65.55013712
AGO,WHOSIS_000001,2017,62.03682911
TTO,WHOSIS_000001,2002,71.08783441
RUS,WHOSIS_000001,2013,70.69584464
SEAR,WHOSIS_000001,2001,64.52874216
JOR,WHOSIS_000001,2010,76.68909265
COM,WHOSIS_000001,2013,66.72653391
TZA,WHOSIS_000001,2012,63.07821297
VUT,WHOSIS_000001,2019,67.13030878
MNG,WHOSIS_000001,2007,66.37749458
BFA,WHOSIS_000001,2009,58.06655977
TLS,WHOSIS_000001,2011,67.28464088
DNK,WHOSIS_000001,2005,78.13130379
NGA,WHOSIS_000001,2006,57.55220397
BWA,WHOSIS_000001,2004,50.64076648
GIN,WHOSIS_000001,2016,59.83918056
VUT,WHOSIS_000001,2004,65.14603809
CZE,WHOSIS_000001,2004,75.78544673
GUY,WHOSIS_000001,2008,65.75519494
USA,WHOSIS_000001,2010,78.6069239
MNE,WHOSIS_000001,2014,76.62030337
NPL,WHOSIS_000001,2016,70.59248
PAK,WHOSIS_000001,2017,66.3818317
EMR,WHOSIS_000001,2012,68.39586296
SOM,WHOSIS_000001,2002,49.39676377
VCT,WHOSIS_000001,2005,72.5595686
CRI,WHOSIS_000001,2021,78.63053412
PHL,WHOSIS_000001,2014,69.80391436
USA,WHOSIS_000001,2007,77.94056193
MYS,WHOSIS_000001,2019,74.68410362
CUB,WHOSIS_000001,2007,78.10025005
NER,WHOSIS_000001,2002,51.88652859
MMR,WHOSIS_000001,2000,59.37966802
BEN,WHOSIS_000001,2018,63.73859672
DOM,WHOSIS_000001,2012,73.71953299
TKM,WHOSIS_000001,2013,69.11794049
KOR,WHOSIS_000001,2004,77.92814417
SLE,WHOSIS_000001,2000,49.78648969
FJI,WHOSIS_000001,2013,67.62910016
CUB,WHOSIS_000001,2016,78.14353782
SVN,WHOSIS_000001,2017,80.7898907
KOR,WHOSIS_000001,2017,83.09217588
CHL,WHOSIS_000001,2009,79.00490643
SGP,WHOSIS_000001,2020,83.99653626
ISL,WHOSIS_000001,2006,81.03602001
EMR,WHOSIS_000001,2017,69.50810208
ARG,WHOSIS_000001,2017,76.64354126
SEN,WHOSIS_000001,2019,68.76445374
EGY,WHOSIS_000001,2019,71.58973358
PER,WHOSIS_000001,2016,80.1644759
SEAR,WHOSIS_000001,2018,71.0517579
HND,WHOSIS_000001,2011,70.68279372
DJI,WHOSIS_000001,2003,59.65312998
UZB,WHOSIS_000001,2014,68.81484391
CAN,WHOSIS_000001,2010,81.14359407
BTN,WHOSIS_000001,2010,71.72710313
SYR,WHOSIS_000001,2010,73.76180647
TGO,WHOSIS_000001,2006,57.51444622
BHS,WHOSIS_000001,2006,72.66353382
ATG,WHOSIS_000001,2021,76.91527032
BTN,WHOSIS_000001,2001,67.18030943
EST,WHOSIS_000001,2003,71.87885357
FJI,WHOSIS_000001,2000,65.82507716
PNG,WHOSIS_000001,2013,65.47647701
SLV,WHOSIS_000001,2015,72.73292352
WB_UMI,WHOSIS_000001,2017,75.28837476
MLT,WHOSIS_000001,2015,81.67976101
GNB,WHOSIS_000001,2016,58.02773484
BWA,WHOSIS_000001,2011,58.41247242
GLOBAL,WHOSIS_000001,2011,70.93277488
BRA,WHOSIS_000001,2014,74.63621389
MDA,WHOSIS_000001,2002,66.13288732
PAN,WHOSIS_000001,2009,77.16899668
WB_LMI,WHOSIS_000001,2009,66.22674258
ALB,WHOSIS_000001,2005,74.20683098
WB_LI,WHOSIS_000001,2016,62.96122947
KWT,WHOSIS_000001,2004,78.50276726
TON,WHOSIS_000001,2006,72.01750935
NZL,WHOSIS_000001,2002,78.65902491
CRI,WHOSIS_000001,2002,78.85732142
DJI,WHOSIS_000001,2006,60.21901234
MKD,WHOSIS_000001,2011,74.96127325
POL,WHOSIS_000001,2010,76.23355347
MRT,WHOSIS_000001,2018,69.9973737
CMR,WHOSIS_000001,2009,56.2682285
BIH,WHOSIS_000001,2019,77.09808482
ROU,WHOSIS_000001,2018,75.12257592
CUB,WHOSIS_000001,2006,78.02512407
KEN,WHOSIS_000001,2013,63.11575218
BEN,WHOSIS_000001,2016,63.0021663
SWE,WHOSIS_000001,2012,81.46624768
CHN,WHOSIS_000001,2008,73.99659977
NZL,WHOSIS_000001,2009,80.56243651
BLR,WHOSIS_000001,2003,68.37573872
ROU,WHOSIS_000001,2004,71.76511513
ZWE,WHOSIS_000001,2005,45.7065362
MDA,WHOSIS_000001,2001,66.20689138
ETH,WHOSIS_000001,2014,66.55987824
FRA,WHOSIS_000001,2018,82.37708106
DOM,WHOSIS_000001,2018,73.52093617
TCD,WHOSIS_000001,2012,56.60362018
MDV,WHOSIS_000001,2005,72.865727
BEN,WHOSIS_000001,2002,58.09380517
IRL,WHOSIS_000001,2008,79.58286978
PRT,WHOSIS_000001,2013,80.52727852
ZAF,WHOSIS_000001,2020,64.30356494
LBN,WHOSIS_000001,2015,78.43741249
BDI,WHOSIS_000001,2014,62.32268744
ISR,WHOSIS_000001,2011,81.64888794
SOM,WHOSIS_000001,2010,49.52620758
GRC,WHOSIS_000001,2021,79.59785025
AFR,WHOSIS_000001,2021,63.55243899
SRB,WHOSIS_000001,2012,74.84163486
IND,WHOSIS_000001,2004,65.06317912
ECU,WHOSIS_000001,2003,73.9172371
ISR,WHOSIS_000001,2013,81.92176085
VNM,WHOSIS_000001,2002,72.06004934
PRT,WHOSIS_000001,2020,80.81837464
AFR,WHOSIS_000001,2009,58.84133306
PHL,WHOSIS_000001,2003,69.52481782
PRI,WHOSIS_000001,2015,80.5149692
AMR,WHOSIS_000001,2011,76.46212795
ARM,WHOSIS_000001,2004,72.03083518
