country,country_code,indicator,year,value
Nigeria,NGA,SP.DYN.LE00.IN,1962,37.606
Nigeria,NGA,SP.DYN.LE00.IN,1961,37.427
Nigeria,NGA,SP.DYN.LE00.IN,1960,37.207
Nigeria,NGA,SP.POP.TOTL,2025,237527782.0
Nigeria,NGA,SP.POP.TOTL,2024,232679478.0
Nigeria,NGA,SP.POP.TOTL,2023,227882945.0
Nigeria,NGA,SP.POP.TOTL,2022,223150896.0
Nigeria,NGA,SP.POP.TOTL,2021,218529286.0
Nigeria,NGA,SP.POP.TOTL,2020,213996181.0
Nigeria,NGA,SP.POP.TOTL,2019,209485641.0
Nigeria,NGA,SP.POP.TOTL,2018,204938755.0
Nigeria,NGA,SP.POP.TOTL,2017,200254579.0
Nigeria,NGA,SP.POP.TOTL,2016,195443700.0
Nigeria,NGA,SP.POP.TOTL,2015,190671878.0
Nigeria,NGA,SP.POP.TOTL,2014,185896915.0
Nigeria,NGA,SP.POP.TOTL,2013,181049443.0
Nigeria,NGA,SP.POP.TOTL,2012,176200625.0
Nigeria,NGA,SP.POP.TOTL,2011,171379598.0
Nigeria,NGA,SP.POP.TOTL,2010,166642886.0
Nigeria,NGA,SP.POP.TOTL,2009,162049464.0
Nigeria,NGA,SP.POP.TOTL,2008,157595014.0
Nigeria,NGA,SP.POP.TOTL,2007,153267261.0
Nigeria,NGA,SP.POP.TOTL,2006,149077334.0
Nigeria,NGA,SP.POP.TOTL,2005,145017253.0
